player,college,position,grade,height,arm_length,weight,hand_length,yard_time,bench_press,vertical_jump,broad_jump,cone_drill,yard_shuttle
"Abbrederis, Jared",Wisconsin,WO,5.2,73,31.375,195,9.625,4.5,4,30.5,117,6.8,4.08
"Adams, Davante",Fresno St.,WO,5.96,73,32.625,212,9,4.56,14,39.5,123,6.82,4.3
"Alexander, Mo",Utah St.,S,4.9,73,32.625,220,8.875,4.54,,38,123,7.05,4.51
"Allen, Ricardo",Purdue,DB,5.1,71,30,187,9.25,4.61,13,35.5,117,,4.15
"Amaro, Jace",Texas Tech,TE,5.4,77,34,265,9,4.74,28,33,118,7.42,4.3
"Andrews, Antonio",Western Kentucky,RB,5.16,70,31.25,225,9.5,4.82,20,29.5,106,7.24,4.49
"Archer, Dri",Kent St.,RB,5.45,68,31,173,8.875,4.26,20,38,122,6.86,4.06
"Armstrong, Matt",Grand Valley St.,OL,5.14,74,33,302,10.625,5.36,,,,,
"Atkinson, George",Notre Dame,RB,5.1,73,33.25,218,9.375,4.48,19,38,121,7.07,4.46
"Attaochu, Jeremiah",Georgia Tech,LB,5.52,75,33,252,9.875,,,,,,
"Bailey, Dion",USC,S,5.2,72,32,201,9.5,4.66,,34,113,6.97,4.15
"Barr, Anthony",UCLA,LB,6.6,77,33.5,255,9.375,4.66,15,34.5,119,6.82,4.19
"Barrow, Lamin",LSU,LB,5.37,73,33.375,237,10.375,4.64,22,35,123,7.24,4.35
"Beckham, Odell",LSU,WO,5.9,71,32.75,198,10,4.43,7,38.5,122,6.69,3.94
"Belue, Deion",Alabama,DB,5.17,71,31.5,182,8.125,,11,,,,
"Benjamin, Kelvin",Florida St.,WO,6.4,77,34.875,240,10.25,4.61,13,32.5,119,7.33,4.39
"Benwikere, Bene",San Jose St.,DB,5.22,71,30,195,9.125,4.63,10,40.5,122,6.94,4.38
"Berhe, Nat",San Diego St.,S,5.24,70,30.625,193,8.5,4.71,15,35.5,117,7.08,4.22
"Bibbs, Kapri",Colorado St.,RB,5.05,69,31.375,212,8.5,4.67,24,29,106,,
"Bitonio, Joel",Nevada,OL,5.5,76,33.875,302,9.625,4.97,22,32,114,7.37,4.44
"Blanchflower, Rob",Massachusetts,TE,5.11,76,33.75,256,9.625,,,,,,
"Blue, Alfred",LSU,RB,5.25,74,32.375,223,9.875,4.63,13,32,121,7.15,4.5
"Bodine, Russell",North Carolina,OL,5.3,75,32.5,310,10,5.18,42,29,109,8.26,4.66
"Boffeli, Conor",Iowa,OL,4.8,76,32,298,9.375,5.3,21,25,101,7.44,4.61
"Borland, Chris",Wisconsin,LB,5.55,71,29.25,248,9.875,4.83,27,31,114,7.18,4.27
"Bortles, Blake",Central Florida,QB,6.4,77,32.875,232,9.375,4.93,,32.5,115,7.08,4.21
"Boston, Tre",North Carolina,S,5.09,72,31.375,204,9.75,4.59,18,35,116,7.04,4.31
"Boswell, Chris",Rice,ST/K,5.09,74,31.25,185,8.625,,,,,,
"Boyd, Chris",Vanderbilt,WO,5.2,76,32.625,206,9.625,4.73,12,,,,
"Boyd, Tajh",Clemson,QB,5.45,73,30.75,222,9.625,4.84,,30.5,106,7.33,4.23
"Bradford, Carl",Arizona State,LB,5.31,73,30.25,250,9.5,4.76,23,37.5,122,7.25,4.3
"Breeland, Bashaud",Clemson,DB,5.55,71,31.75,197,9,4.62,11,34.5,123,7.04,4.33
"Bridgewater, Teddy",Louisville,QB,6.3,74,33,214,9.25,,,30,113,7.17,4.2
"Britt, Justin",Missouri,OL,5.18,78,33.5,325,10.5,5.19,23,27.5,100,8.14,4.69
"Bromley, Jason",Syracuse,DL,5.24,75,33.5,306,9.25,5.06,26,33.5,106,7.92,
"Brooks, Terrence",Florida St.,S,5.29,71,31,198,9,4.42,10,38,119,7.35,
"Brown, Corey",Ohio St.,WO,4.9,71,31.75,178,9.375,4.51,,33,116,7.16,4.22
"Brown, John",Pittsburg St. (KS),WO,4.95,70,30.5,179,8.5,4.34,,36.5,119,6.91,4.12
"Brown, Jonathan",Illinois,LB,5.2,72,33,238,9.375,5.03,16,31,108,7.77,4.56
"Brown, Preston",Louisville,LB,5.42,73,33.5,251,10.25,4.86,23,33,116,6.98,4.26
"Bryant, Martavis",Clemson,WO,5.34,76,32.625,211,9.5,4.42,16,39,124,7.18,4.15
"Bucannon, Deone",Washington St.,S,5.32,73,32.375,211,9.75,4.49,19,36.5,125,6.96,4.26
"Bullough, Max",Michigan St.,LB,5.25,75,31,249,9.375,4.78,30,31,112,7.22,4.3
"Burse, Isaiah",Fresno St.,WO,5.2,70,30.25,188,8.375,4.58,16,31,115,6.74,3.94
"Burton, Trey",Florida,TE,5.2,74,31,224,9.375,4.62,,30,112,7.14,4.32
"Campanaro, Mike",Wake Forest,WO,5.07,69,30,192,9.75,4.46,20,39,122,6.77,4.01
